,City,Cloudiness,Country,Humidity,Latitude,Longitude,Max Temp,Windspeed
0,Mataura,99,NZ,95,-46.19,168.86,46.99,1.61
1,Bredasdorp,57,ZA,50,-34.53,20.04,77.0,6.93
2,Ancud,75,CL,82,-41.87,-73.82,57.2,13.87
3,Jamestown,1,US,64,42.1,-79.24,44.6,14.99
4,Bahía Solano,48,CO,81,6.23,-77.4,80.19,2.77
5,Tiksi,0,RU,88,71.69,128.87,-1.39,11.48
6,Lebu,77,CL,48,-37.62,-73.65,62.91,14.45
7,Santa Rosa,20,PH,61,14.31,121.11,82.99,8.05
8,Ushuaia,40,AR,75,-54.8,-68.3,46.4,6.93
9,Thompson,90,CA,92,55.74,-97.86,23.0,5.82
10,Hithadhoo,5,MV,75,-0.6,73.08,83.55,7.49
11,Manado,20,ID,94,1.49,124.85,77.0,4.29
12,Shurugwi,60,ZW,46,-19.67,30.01,63.18,12.62
13,Atuona,40,PF,79,-9.8,-139.03,82.06,16.69
14,Port Hawkesbury,90,CA,93,45.62,-61.35,43.0,17.22
15,Rikitea,29,PF,76,-23.12,-134.97,77.07,13.06
16,Inuvik,40,CA,53,68.35,-133.72,1.4,9.17
17,Hambantota,20,LK,88,6.12,81.12,82.4,5.82
18,Nikolskoye,75,RU,93,59.7,30.79,37.4,13.42
19,Port Alfred,0,ZA,65,-33.59,26.89,78.08,17.58
20,Touros,40,BR,66,-5.2,-35.46,89.6,13.87
21,Fethiye,75,TR,72,36.62,29.12,60.8,2.24
22,Svobodnyy,18,RU,82,51.4,128.13,21.94,21.05
23,Vanavara,100,RU,86,60.34,102.28,38.16,10.56
24,Punta Arenas,40,CL,57,-53.15,-70.92,50.0,18.34
25,La Paz,40,BO,54,-16.5,-68.15,55.4,5.82
26,Olavarría,0,AR,67,-36.89,-60.32,64.0,1.99
27,Taoudenni,0,ML,7,22.68,-3.98,100.38,14.58
28,Port Lincoln,55,AU,66,-34.73,135.87,58.89,25.97
29,Albany,90,US,81,42.6,-73.97,46.99,10.29
30,Okitipupa,79,NG,58,6.5,4.78,90.72,8.61
31,Ilulissat,75,GL,71,69.22,-51.1,8.6,2.24
32,Kapaa,75,US,94,22.08,-159.32,71.6,6.93
33,Busselton,67,AU,38,-33.65,115.33,55.99,14.27
34,Port Pirie,7,AU,76,-33.18,138.02,57.2,11.41
35,Qaanaaq,5,GL,79,77.48,-69.36,5.81,9.95
36,Hilo,1,US,72,19.73,-155.09,66.2,6.93
37,Soma,40,TR,58,39.19,27.61,57.2,0.51
38,Cape Town,81,ZA,44,-33.93,18.42,79.0,9.17
39,Morehead,90,US,58,37.27,-87.18,62.6,4.54
40,Vaini,75,TO,83,-21.2,-175.2,75.2,6.93
41,Castro,0,BR,27,-24.79,-50.01,68.05,7.52
42,Butaritari,66,KI,78,3.07,172.79,82.81,9.66
43,Kudahuvadhoo,19,MV,70,2.67,72.89,83.89,13.58
44,Turan,75,VN,88,16.07,108.22,80.6,4.7
45,Hobart,75,AU,72,-42.88,147.33,60.8,9.17
46,Jardim,74,BR,52,-21.48,-56.14,77.4,8.88
47,Provideniya,94,RU,96,64.38,-173.3,20.97,3.8
48,Yellowknife,90,CA,77,62.46,-114.35,1.4,17.22
49,Vostok,100,RU,79,46.49,135.88,28.27,5.32
50,Kirakira,100,SB,81,-10.45,161.92,81.77,16.78
51,Havelock,1,US,29,34.88,-76.9,63.0,18.34
52,Victor Harbor,75,AU,67,-35.57,138.62,60.8,26.4
53,Klaksvík,100,FO,74,62.23,-6.59,30.2,9.17
54,Olafsvik,100,IS,91,64.89,-23.71,26.76,30.11
55,Hong Kong,40,HK,88,22.29,114.16,70.0,11.41
56,Bluff,93,NZ,95,-46.6,168.33,46.99,3.15
57,Necochea,20,AR,68,-38.55,-58.74,68.0,4.0
58,Mahébourg,75,MU,100,-20.41,57.7,75.2,3.36
59,Yulara,40,AU,40,-25.24,130.99,73.4,12.75
60,Banda Aceh,98,ID,83,5.56,95.32,81.19,6.73
61,Sainte-Marie,75,RE,88,-20.9,55.55,78.8,3.36
62,Cururupu,100,BR,69,-1.83,-44.87,86.18,6.44
63,Cidreira,67,BR,68,-30.18,-50.21,71.29,27.13
64,Bassano,100,CA,64,50.78,-112.47,17.01,5.01
65,Barrow,90,US,85,71.29,-156.79,12.2,11.41
66,Pacific Grove,1,US,70,36.62,-121.92,51.01,6.93
67,Murgab,90,TM,46,37.5,61.97,73.4,4.7
68,The Valley,0,AI,63,18.22,-63.06,82.0,8.99
69,Puerto Ayora,40,EC,78,-0.74,-90.35,82.4,4.7
70,Belyy Yar,99,RU,43,53.6,91.39,51.8,6.71
71,Grindavik,90,IS,50,63.84,-22.43,30.2,20.8
72,Praia da Vitória,75,PT,82,38.73,-27.07,64.4,16.53
73,New Norfolk,95,AU,72,-42.78,147.06,60.8,9.17
74,Saldanha,19,ZA,24,-33.01,17.94,89.6,12.75
75,Fes,40,MA,35,34.04,-5.0,69.8,16.11
76,Asău,0,RO,35,46.43,26.4,61.0,11.41
77,Wattegama,20,LK,88,6.8,81.48,82.4,5.82
78,Remanso,0,BR,43,-9.62,-42.08,89.65,4.09
79,Aleysk,100,RU,92,52.49,82.78,36.86,4.52
80,Santa Maria,75,BR,60,-29.68,-53.81,71.6,9.17
81,Ayer Tawar,20,MY,94,4.3,100.75,77.0,1.12
82,Codrington,100,AU,81,-38.27,141.97,56.23,18.61
83,Copperas Cove,90,US,100,31.12,-97.9,71.01,3.36
84,Saint Paul Harbor,20,US,59,57.79,-152.41,35.6,14.99
85,Kaitangata,97,NZ,85,-46.28,169.85,54.0,1.01
86,Cherskiy,98,RU,92,68.75,161.3,-4.34,4.94
87,East London,32,ZA,68,-33.02,27.91,76.55,20.56
88,Kahului,1,US,82,20.89,-156.47,64.4,6.93
89,Kamina,100,CD,65,-8.74,24.99,68.4,2.64
90,Saint-Pierre,75,RE,88,-21.34,55.48,78.8,9.17
91,Martapura,91,ID,88,-3.42,114.85,77.83,2.13
92,Boueni,0,YT,65,-12.9,45.08,82.4,2.24
93,Great Bend,40,US,79,38.36,-98.76,32.0,20.8
94,Souillac,75,MU,100,-20.52,57.52,75.2,3.36
95,Lakefield,90,US,85,43.68,-95.17,24.01,21.92
96,Port Louis,75,MU,100,-20.16,57.5,75.2,3.36
97,Tasiilaq,75,GL,45,65.61,-37.64,26.6,12.75
98,Mar del Plata,40,AR,55,-38.0,-57.56,66.2,3.36
99,Zabul Province,0,AF,22,32.25,67.25,58.03,10.58
100,Avarua,75,CK,94,-21.21,-159.78,75.2,5.82
101,Quatre Cocos,75,MU,100,-20.21,57.76,75.2,3.36
102,Aksu,86,CN,23,41.12,80.26,56.82,5.37
103,Zhigalovo,74,RU,71,54.81,105.16,35.96,2.26
104,Hebi,72,CN,37,35.9,114.19,54.55,5.01
105,Lagoa,68,PT,83,39.05,-27.98,60.91,23.44
106,Hermanus,82,ZA,33,-34.42,19.23,86.0,4.0
107,Tuatapere,100,NZ,95,-46.13,167.68,46.99,1.52
108,Khani,75,GE,32,41.96,42.96,69.8,4.7
109,Hirara,22,JP,71,24.8,125.28,71.87,8.25
110,Terrace,20,CA,57,54.52,-128.6,23.0,10.29
111,Biskamzha,98,RU,74,53.45,89.53,39.27,3.94
112,Baykit,52,RU,93,61.67,96.37,29.17,9.51
113,‘Ewa Beach,40,US,77,21.32,-158.01,73.4,3.36
114,Camacha,75,PT,77,33.08,-16.33,64.4,20.8
115,Kumul,89,CN,18,42.8,93.45,56.14,7.05
116,Bengkulu,96,ID,77,-3.8,102.27,79.95,1.63
117,Torbay,90,CA,96,47.67,-52.73,37.99,18.34
118,Araouane,37,ML,7,18.9,-3.53,103.93,10.56
119,Chui,16,UY,58,-33.7,-53.46,70.09,17.02
120,Paris,83,FR,50,48.85,2.35,59.0,6.93
121,Salinópolis,97,BR,77,-0.61,-47.36,83.66,8.25
122,Upernavik,13,GL,86,72.79,-56.15,-2.11,12.59
123,Shizuishan,59,CN,24,39.23,106.77,49.44,7.99
124,Fukuechō,100,JP,57,32.69,128.84,58.23,14.52
125,Haines Junction,100,CA,82,60.75,-137.51,16.21,2.3
126,Bat Khela,0,PK,44,34.62,71.97,61.34,3.36
127,San Andrés,20,CO,62,12.58,-81.7,86.0,9.17
128,Honiara,75,SB,83,-9.43,159.95,80.6,10.29
129,Muros,20,ES,48,42.78,-9.06,69.01,9.17
130,Adrar,0,MR,7,20.5,-10.07,99.16,18.5
131,Chokurdakh,80,RU,89,70.63,147.92,-17.91,3.89
132,Kālāgarh Project Colony,0,IN,24,29.5,78.75,72.28,6.55
133,St. George's,20,GD,74,12.06,-61.75,86.0,17.22
134,Wyndham,1,US,23,37.7,-77.61,62.6,19.46
135,Buin,49,CL,30,-33.73,-70.75,71.6,2.24
136,Coyhaique,75,CL,87,-45.58,-72.07,53.6,6.93
137,Aklavik,75,CA,59,68.22,-135.01,1.4,10.29
138,São Borja,0,BR,51,-28.66,-56.0,69.19,7.56
139,Jinchang,100,CN,25,38.5,102.17,45.43,6.29
140,Kamaishi,0,JP,69,39.27,141.88,45.79,5.39
141,Pevek,100,RU,94,69.7,170.31,4.15,8.93
142,Williams Lake,75,CA,78,52.14,-122.14,12.2,10.29
143,Dawei,0,MM,70,14.08,98.2,79.83,3.85
144,Cabo San Lucas,20,MX,40,22.89,-109.91,78.01,7.99
145,Fuglebjerg,3,DK,56,55.31,11.55,48.0,19.46
146,Krasnosel'kup,25,RU,95,65.7,82.47,18.14,11.9
147,Longyearbyen,20,SJ,57,78.22,15.64,-7.6,27.51
148,Aitape,100,PG,83,-3.14,142.35,80.06,12.62
149,Manzanillo,16,CU,55,20.34,-77.12,85.08,7.0
150,Kuito,75,AO,100,-12.38,16.93,64.4,8.05
151,Lavrentiya,100,RU,97,65.58,-171.0,23.41,4.65
152,Yerbogachën,100,RU,87,61.28,108.01,36.03,11.43
153,Mattawa,1,US,80,46.74,-119.9,42.8,11.7
154,Mékhé,27,SN,33,15.11,-16.62,86.0,24.16
155,Dunedin,100,NZ,84,-45.87,170.5,55.99,12.64
156,Anadyr,82,RU,83,64.75,177.48,-5.01,8.95
157,Aktobe,40,KZ,77,50.28,57.21,50.0,11.18
158,Kamenka,29,RU,29,51.32,42.77,52.0,1.01
159,Tuktoyaktuk,20,CA,69,69.45,-133.04,-7.6,17.22
160,George Town,40,MY,88,5.41,100.34,82.4,1.95
161,Samarai,34,PG,82,-10.62,150.67,78.71,9.26
162,Dakoro,82,NE,6,14.51,6.76,107.47,3.47
163,Norman Wells,20,CA,70,65.28,-126.83,-4.0,3.36
164,Ulladulla,80,AU,100,-35.35,150.47,64.4,3.36
165,Petropavlovka,0,RU,38,50.61,105.32,46.56,2.37
166,Jalu,14,LY,10,29.03,21.55,93.74,17.56
167,Praia,4,CV,54,14.92,-23.51,84.2,9.17
168,Qujing,38,CN,23,25.48,103.78,61.81,4.56
169,Leningradskiy,35,RU,86,69.38,178.42,-0.83,9.06
170,Nara,46,JP,81,34.69,135.8,51.8,5.82
171,Changzhou,23,CN,58,31.78,119.97,54.0,1.01
172,Pandan,16,PH,77,14.05,124.17,80.69,13.78
173,Liverpool,20,GB,66,53.41,-2.98,54.0,11.41
174,Ribeira Grande,75,PT,87,38.52,-28.7,60.8,24.16
175,Morant Bay,20,JM,66,17.88,-76.41,84.2,3.36
176,Marawi,43,PH,73,8.0,124.29,69.17,2.75
177,Acapulco de Juárez,5,MX,65,16.86,-99.89,82.4,3.36
178,Hualmay,8,PE,64,-11.1,-77.61,77.22,6.6
179,Reyes,99,BO,68,-14.32,-67.38,81.72,5.14
180,Mehamn,96,NO,73,71.04,27.85,23.0,10.29
181,São Filipe,18,CV,64,14.9,-24.5,77.36,16.87
182,Saint George,1,US,41,37.1,-113.58,50.0,4.7
183,Savelugu,2,GH,16,9.62,-0.83,108.28,3.4
184,Maceió,75,BR,74,-9.67,-35.74,84.2,5.82
185,Nālūt,0,LY,13,30.33,10.85,81.82,23.29
186,Porto-Novo,20,BJ,70,6.5,2.6,87.8,13.87
187,Two Hills,92,CA,84,53.72,-111.75,1.04,3.91
188,Zhezkazgan,40,KZ,62,47.8,67.71,51.8,8.95
189,Surat Thani,20,TH,83,9.14,99.33,78.8,4.21
190,Talcahuano,100,CL,59,-36.72,-73.12,64.4,6.93
191,Severo-Kuril'sk,94,RU,95,50.68,156.12,30.97,12.91
192,Rome,90,US,87,43.21,-75.46,45.0,8.05
193,Port Elizabeth,0,ZA,68,-33.92,25.57,71.6,12.75
194,Hasaki,75,JP,87,35.73,140.83,55.4,6.93
195,Port-Gentil,75,GA,79,-0.72,8.78,87.8,17.22
196,Kenai,90,US,92,60.55,-151.26,30.2,3.36
197,Wucheng,95,CN,83,29.6,118.17,52.95,0.92
198,Pedro II,98,BR,58,-4.42,-41.46,83.71,5.32
199,Price,1,US,38,39.6,-110.81,34.0,2.95
200,Khatanga,94,RU,95,71.97,102.5,25.7,11.54
201,Meulaboh,100,ID,82,4.14,96.13,80.33,4.99
202,Brae,100,GB,55,60.4,-1.35,41.0,12.75
203,São João da Barra,0,BR,59,-21.64,-41.05,89.6,9.17
204,Odienné,0,CI,14,9.51,-7.57,105.13,5.61
205,Sitka,90,US,89,57.05,-135.33,32.0,3.36
206,La Santisima Trinidad,75,BO,65,-14.83,-64.9,82.4,16.11
207,Dikson,100,RU,95,73.51,80.55,10.47,19.8
208,Maniitsoq,0,GL,87,65.42,-52.9,21.4,11.27
209,Bilma,30,NE,6,18.69,12.92,107.26,13.96
210,Mossamedes,40,AO,69,-15.2,12.15,78.8,11.41
211,Bethel,90,US,81,41.37,-73.41,48.99,12.75
212,Faanui,23,PF,76,-16.48,-151.75,82.27,9.26
213,Mikuni,0,JP,70,36.22,136.15,44.6,2.24
214,Ahipara,0,NZ,79,-35.17,173.17,61.32,4.21
215,Dakar,68,SN,33,14.69,-17.44,86.0,24.16
216,Alanya,40,TR,63,36.54,32.0,66.2,9.17
217,Avera,1,US,42,33.19,-82.53,68.0,4.7
218,Wörgl,40,AT,30,47.48,12.07,57.2,12.75
219,Inhambane,52,MZ,74,-23.86,35.38,77.67,12.75
220,Bundaberg,89,AU,88,-24.85,152.35,75.0,5.06
221,Yumen,37,CN,23,40.28,97.2,44.42,10.51
222,Saint John,90,CA,81,45.27,-66.07,44.6,16.11
223,Senneterre,90,CA,93,48.38,-77.23,37.4,8.05
224,Airai,65,TL,73,-8.93,125.41,61.29,1.39
225,Sarangani,0,PH,79,5.4,125.46,82.72,19.48
226,Vanimo,99,PG,84,-2.67,141.3,79.97,12.5
227,Arraial do Cabo,44,BR,62,-22.97,-42.03,86.0,18.34
228,Kavieng,100,PG,79,-2.57,150.8,81.5,8.9
229,Lincoln,75,US,73,40.8,-96.67,27.0,21.92
230,Carnarvon,100,AU,78,-24.87,113.63,73.4,12.75
231,Tazovsky,27,RU,93,67.47,78.7,10.04,12.88
232,Linhares,46,BR,49,-19.39,-40.07,92.88,10.78
233,Cayenne,75,GF,83,4.93,-52.33,82.4,14.99
234,Taganak,20,PH,83,6.08,118.3,82.4,4.7
235,Laguna,1,US,86,38.42,-121.42,51.01,2.51
236,Irgakly,92,RU,67,44.36,44.76,48.54,8.1
237,Lexington,1,US,47,37.99,-84.48,60.8,3.36
238,Sabang,99,ID,76,5.89,95.32,83.97,9.04
239,Amahai,53,ID,80,-3.33,128.92,80.64,7.43
240,Balakliya,0,UA,40,49.46,36.86,53.71,8.16
241,Normandin,90,CA,80,48.83,-72.53,41.0,6.93
242,Kruisfontein,0,ZA,40,-34.0,24.73,81.46,8.68
243,Clyde River,75,CA,84,70.47,-68.59,5.0,32.21
244,Narsaq,5,GL,74,60.92,-46.05,32.0,2.24
245,Santiago del Estero,36,AR,42,-27.8,-64.26,70.66,6.4
246,Beisfjord,40,NO,92,68.38,17.6,32.0,4.7
247,Luleå,100,SE,95,65.58,22.15,32.0,12.75
248,Karratha,0,AU,55,-20.74,116.85,84.78,11.05
249,Jishou,97,CN,73,28.32,109.72,51.51,3.74
250,Nanortalik,0,GL,78,60.14,-45.24,28.9,3.42
251,Guánica,1,PR,64,17.97,-66.91,86.0,6.93
252,San Ignacio,12,BZ,74,17.16,-89.07,86.0,4.7
253,Pochutla,5,MX,58,15.74,-96.47,82.4,6.58
254,Sicamous,90,CA,92,50.83,-118.99,32.0,1.68
255,Lüderitz,0,NA,31,-26.65,15.16,87.8,9.17
256,Iquique,21,CL,60,-20.22,-70.14,73.4,6.93
257,Mayo,1,US,40,38.89,-76.51,57.99,19.46
258,Hamilton,40,US,44,39.18,-84.53,61.0,4.16
259,College,90,US,92,64.86,-147.8,28.4,1.16
260,Suba,0,PH,80,10.84,121.01,82.96,23.49
261,Tura,0,IN,19,25.52,90.22,74.7,2.84
262,Tocopilla,34,CL,27,-22.09,-70.2,83.8,3.6
263,Kuopio,90,FI,92,62.89,27.68,32.0,11.41
264,Tres Arroyos,0,AR,45,-38.37,-60.28,64.33,10.38
265,San Patricio,5,MX,73,19.22,-104.7,77.0,6.93
266,Carauari,99,BR,81,-4.88,-66.9,83.07,2.55
267,Gambēla,92,ET,19,8.25,34.58,101.79,5.99
268,Nanga Eboko,75,CM,42,4.68,12.37,90.75,6.46
269,Rundu,69,NA,78,-17.93,19.77,73.4,5.82
270,Zabaykal'sk,0,RU,64,49.63,117.32,24.26,3.47
271,Guerrero Negro,100,MX,77,27.98,-114.06,59.97,15.3
272,Lompoc,0,US,93,34.64,-120.46,54.0,10.63
273,Shëngjin,90,AL,50,41.81,19.59,59.0,9.17
